,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
351,Ride Along,2014,6.2,41        ,99543,PG-13,https://imdb.com/title/tt1408253/,Action,Comedy,Crime,Ice Cube,Kevin Hart,Tika Sumpter,0,0,1,7,99,25000000,154468902
352,That Awkward Moment,2014,6.1,36        ,95842,R,https://imdb.com/title/tt1800246/,Comedy,Romance,,Zac Efron,Michael B. Jordan,Miles Teller,0,0,1,2,94,8000000,45640143
353,Paddington,2014,7.2,77        ,93747,PG,https://imdb.com/title/tt1109624/,Adventure,Comedy,Family,Hugh Bonneville,Sally Hawkins,Julie Walters,0,1,3,36,95,55000000,282839394
354,St. Vincent,2014,7.2,64        ,93660,PG-13,https://imdb.com/title/tt2170593/,Comedy,Drama,,Bill Murray,Melissa McCarthy,Naomi Watts,0,2,6,621,102,13000000,54837234
355,Inherent Vice,2014,6.7,81        ,91158,R,https://imdb.com/title/tt1791528/,Comedy,Crime,Drama,Joaquin Phoenix,Josh Brolin,Owen Wilson,0,2,16,1694,148,20000000,14710975
356,The Guest,2014,6.7,76        ,86788,R,https://imdb.com/title/tt2980592/,Action,Crime,Drama,Dan Stevens,Sheila Kelley,Maika Monroe,0,0,4,13,100,5000000,2700051
357,3 Days to Kill,2014,6.2,40        ,85209,PG-13,https://imdb.com/title/tt2172934/,Action,Drama,Thriller,Kevin Costner,Hailee Steinfeld,Connie Nielsen,0,0,0,0,117,28000000,53260230
358,Big Eyes,2014,7.0,62        ,82694,PG-13,https://imdb.com/title/tt1126590/,Biography,Crime,Drama,Amy Adams,Christoph Waltz,Danny Huston,0,1,2,218,106,10000000,29253166
359,Selma,2014,7.5,81        ,82636,PG-13,https://imdb.com/title/tt1020072/,Biography,Drama,History,David Oyelowo,Carmen Ejogo,Oprah Winfrey,0,1,58,5889,128,20000000,66787908
360,"I, Frankenstein",2014,5.1,30        ,77171,PG-13,https://imdb.com/title/tt1418377/,Action,Fantasy,Sci-Fi,Aaron Eckhart,Bill Nighy,Miranda Otto,0,0,0,1,92,65000000,76801179
361,Penguins of Madagascar,2014,6.7,53        ,76675,PG,https://imdb.com/title/tt1911658/,Animation,Adventure,Comedy,Tom McGrath,Chris Miller,Christopher Knights,0,0,0,7,92,132000000,373515621
362,The Hundred-Foot Journey,2014,7.3,55        ,74230,PG,https://imdb.com/title/tt2980648/,Comedy,Drama,,Helen Mirren,Om Puri,Manish Dayal,0,1,2,23,122,22000000,89514453
363,Frank,2014,7.0,75        ,73322,R,https://imdb.com/title/tt1605717/,Comedy,Drama,Music,Michael Fassbender,Domhnall Gleeson,Maggie Gyllenhaal,0,0,13,17,95,,1897363
