movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
Jazzman,7.2,64.0,729.0,2.0,Comedy,Music,Music,Igor Sklyar,Aleksandr Pankratov-Chyornyy,Nikolay Averyushkin,0.0,0.0,1.0,89.0,43819528.982781656,53160295.192035295,1983
Lovesick,5.2,64.0,715.0,2.0,Comedy,Fantasy,Romance,Dudley Moore,Elizabeth McGovern,Alec Guinness,0.0,0.0,0.0,95.0,10100000.0,10171304.0,1983
Eyes of Fire,6.3,64.0,714.0,1.0,Horror,Western,Western,Dennis Lipscomb,Guy Boyd,Rebecca Stanley,0.0,0.0,0.0,103.28243887592573,2600000.0,53160295.192035295,1983
Hysterical,5.8,64.0,685.0,2.0,Comedy,Horror,Horror,Bill Hudson,Mark Hudson,Brett Hudson,0.0,0.0,0.0,87.0,43819528.982781656,53160295.192035295,1983
Wavelength,5.7,64.0,679.0,2.0,Sci-Fi,Thriller,Thriller,Robert Carradine,Cherie Currie,Keenan Wynn,0.0,0.0,0.0,87.0,43819528.982781656,53160295.192035295,1983
Careful He Might Hear You,6.9,64.0,675.0,2.0,Drama,Drama,Drama,Wendy Hughes,Robyn Nevin,Nicholas Gledhill,0.0,10.0,6.0,110.0,43819528.982781656,2938179.0,1983
The Return of Captain Invincible,5.9,64.0,647.0,2.0,Musical,Fantasy,Comedy,Alan Arkin,Christopher Lee,Kate Fitzpatrick,0.0,1.0,2.0,103.28243887592573,5000000.0,53160295.192035295,1983
Table for Five,6.1,64.0,645.0,2.0,Drama,Romance,Romance,Jon Voight,Richard Crenna,Marie-Christine Barrault,0.0,1.0,1.0,122.0,43819528.982781656,2439705.0,1983
Love Letters,6.0,64.0,640.0,1.0,Drama,Romance,Romance,Jamie Lee Curtis,Bonnie Bartlett,Matt Clark,0.0,0.0,0.0,88.0,550000.0,5269990.0,1983
Running Brave,6.7,64.0,627.0,2.0,Biography,Drama,Sport,Robby Benson,Pat Hingle,Claudia Cron,0.0,0.0,1.0,106.0,8000000.0,3000000.0,1983
Hanna K.,6.3,64.0,619.0,1.0,Drama,Drama,Drama,Jill Clayburgh,Jean Yanne,Gabriel Byrne,0.0,0.0,2.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
The First Turn-On!!,4.4,64.0,606.0,1.0,Comedy,Comedy,Comedy,Georgia Harrell,Michael Sanville,Googy Gress,0.0,0.0,0.0,88.0,43819528.982781656,53160295.192035295,1983
Bullshot Crummond,6.1,64.0,600.0,2.0,Action,Adventure,Comedy,Alan Shearman,Diz White,Ronald E. House,0.0,0.0,0.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Stryker,4.3,64.0,569.0,1.0,Action,Sci-Fi,Sci-Fi,Steve Sandor,Andrea Savio,William Ostrander,0.0,0.0,0.0,103.28243887592573,43819528.982781656,1723487.0,1983
Hearts and Armour,5.9,64.0,550.0,1.0,Action,Adventure,Fantasy,Zeudi Araya Cristaldi,Barbara De Rossi,Rick Edwards,0.0,1.0,2.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Blood Beat,4.7,64.0,548.0,1.0,Horror,Horror,Horror,Helen Benton,Terry Brown,Dana Day,0.0,0.0,0.0,87.0,43819528.982781656,53160295.192035295,1983
Somewhere Tomorrow,6.3,64.0,536.0,2.0,Drama,Fantasy,Fantasy,Sarah Jessica Parker,Nancy Addison,Tom Shea,0.0,0.0,0.0,91.0,43819528.982781656,53160295.192035295,1983
Le triomphe d'un homme nommé Cheval,5.6,64.0,516.0,2.0,Western,Western,Western,Richard Harris,Michael Beck,Ana De Sade,0.0,0.0,0.0,86.0,43819528.982781656,53160295.192035295,1983
The Man Who Wasn't There,3.8,64.0,499.0,1.0,Action,Adventure,Comedy,Steve Guttenberg,Jeffrey Tambor,Art Hindle,0.0,0.0,0.0,111.0,43819528.982781656,2443487.0,1983
The Alchemist,3.9,64.0,477.0,1.0,Horror,Horror,Horror,Robert Ginty,Lucinda Dooling,John Sanderford,0.0,0.0,0.0,78.0,43819528.982781656,53160295.192035295,1983
