,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
264,Mid90s,201,7.4,66.0,41612.0,R,https://imdb.com/title/tt5613484/,74.0
265,Mary Poppins Returns,201,6.7,66.0,71681.0,PG,https://imdb.com/title/tt5028340/,67.0
266,Ant-Man and the Wasp,201,7.1,70.0,289425.0,PG-13,https://imdb.com/title/tt5095030/,71.0
267,The House That Jack Built,201,6.8,42.0,52184.0,R,https://imdb.com/title/tt4003440/,68.0
268,Sorry to Bother You,201,6.9,80.0,55321.0,R,https://imdb.com/title/tt5688932/,69.0
269,If Beale Street Could Talk,201,7.1,87.0,37929.0,R,https://imdb.com/title/tt7125860/,71.0
270,Incredibles 2,201,7.6,80.0,235112.0,PG,https://imdb.com/title/tt3606756/,76.0
271,Tomb Raider,201,6.3,48.0,182862.0,PG-13,https://imdb.com/title/tt1365519/,63.0
272,Overlord,201,6.6,60.0,77752.0,R,https://imdb.com/title/tt4530422/,66.0
273,Instant Family,201,7.3,57.0,73127.0,PG-13,https://imdb.com/title/tt7401588/,73.0
274,Sicario: Day of the Soldado,201,7.1,61.0,116504.0,R,https://imdb.com/title/tt5052474/,71.0
275,Beautiful Boy,201,7.3,62.0,46319.0,R,https://imdb.com/title/tt1226837/,73.0
276,Freaks,201,6.7,63.0,19504.0,R,https://imdb.com/title/tt8781414/,67.0
277,The Mule,201,7.0,58.0,97799.0,R,https://imdb.com/title/tt7959026/,70.0
278,Halloween,201,6.6,67.0,109804.0,R,https://imdb.com/title/tt1502407/,66.0
279,Ralph Breaks the Internet,201,7.1,71.0,120787.0,PG,https://imdb.com/title/tt5848272/,71.0
280,Tag,201,6.5,56.0,105698.0,R,https://imdb.com/title/tt2854926/,65.0
281,The Equalizer 2,201,6.7,50.0,120009.0,R,https://imdb.com/title/tt3766354/,67.0
282,Under the Silver Lake,201,6.5,60.0,29070.0,R,https://imdb.com/title/tt5691670/,65.0
