Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
190;Tolkien;2019;6.8;48;28200;PG-13;https://imdb.com/title/tt3361792/;Biography;Drama;Romance;Nicholas Hoult;Lily Collins;Colm Meaney;0;0;0;0;112;20000000;9090040
191;The Report;2019;7.2;66;26683;R;https://imdb.com/title/tt8236336/;Biography;Crime;Drama;Adam Driver;Annette Bening;Jon Hamm;0;1;3;10;119;;232305
192;Eli;2019;5.7;;25233;R;https://imdb.com/title/tt5294518/;Horror;;;Charlie Shotwell;Kelly Reilly;Max Martini;0;0;0;1;98;;
193;Spies in Disguise;2019;6.8;54;24729;PG;https://imdb.com/title/tt5814534/;Animation;Adventure;Comedy;Rachel Brosnahan;Jarrett Bruno;Claire Crosby;0;0;0;3;102;100000000;171616764
194;Guns Akimbo;2019;6.3;42;23974;R;https://imdb.com/title/tt6902676/;Action;Comedy;;Samara Weaving;Daniel Radcliffe;Mark Rowley;0;0;0;0;98;;827813
195;Abominable;2019;7.0;61;23927;PG;https://imdb.com/title/tt6324278/;Animation;Adventure;Comedy;Chloe Bennet;Albert Tsai;Tenzing Norgay Trainor;0;0;4;20;97;75000000;189915601
196;Late Night;2019;6.5;70;23829;R;https://imdb.com/title/tt6107548/;Comedy;Drama;;Emma Thompson;Mindy Kaling;John Lithgow;0;1;1;4;102;4000000;22386555
197;The Art of Self-Defense;2019;6.7;65;23279;R;https://imdb.com/title/tt7339248/;Action;Comedy;Crime;Jesse Eisenberg;Alessandro Nivola;Imogen Poots;0;0;0;5;104;;2414269
198;The Aeronauts;2019;6.6;60;22447;PG-13;https://imdb.com/title/tt6141246/;Action;Adventure;Drama;Felicity Jones;Eddie Redmayne;Himesh Patel;0;0;0;7;100;;3293465
199;A Rainy Day in New York;2019;6.6;44;22439;PG-13;https://imdb.com/title/tt7139936/;Comedy;Romance;;Timothée Chalamet;Elle Fanning;Liev Schreiber;0;0;0;2;92;;21567442
200;Official Secrets;2019;7.3;63;21795;R;https://imdb.com/title/tt5431890/;Biography;Crime;Drama;Keira Knightley;Matt Smith;Matthew Goode;0;0;4;8;112;;9581462
201;The Addams Family;2019;5.8;46;21304;PG;https://imdb.com/title/tt1620981/;Animation;Comedy;Family;Oscar Isaac;Charlize Theron;Chloë Grace Moretz;0;0;0;4;86;24000000;203044905
202;The Prodigy;2019;5.8;45;21284;R;https://imdb.com/title/tt4504044/;Horror;Thriller;;Taylor Schilling;Jackson Robert Scott;Peter Mooney;0;0;0;1;92;6000000;21150265
203;Vivarium;2019;5.8;64;20852;R;https://imdb.com/title/tt8368406/;Horror;Mystery;Sci-Fi;Imogen Poots;Danielle Ryan;Molly McCann;0;0;2;4;97;4000000;123044
204;The Art of Racing in the Rain;2019;7.5;43;19639;PG;https://imdb.com/title/tt1478839/;Comedy;Drama;Romance;Kevin Costner;Milo Ventimiglia;Jackie Minns;0;0;0;0;109;18000000;33766787
205;Honey Boy;2019;7.3;73;19558;R;https://imdb.com/title/tt8151874/;Drama;;;Shia LaBeouf;Lucas Hedges;Noah Jupe;0;0;10;35;94;;3373595
206;Dora and the Lost City of Gold;2019;6.0;63;19377;PG;https://imdb.com/title/tt7547410/;Adventure;Comedy;Family;Isabela Merced;Eugenio Derbez;Michael Peña;0;0;1;1;102;49000000;120624994
207;The Lodge;2019;6.0;64;19276;R;https://imdb.com/title/tt7347846/;Drama;Horror;Thriller;Riley Keough;Jaeden Martell;Lia McHugh;0;0;0;4;108;;2679438
208;Missing Link;2019;6.7;68;19129;PG;https://imdb.com/title/tt6348138/;Animation;Adventure;Comedy;Hugh Jackman;David Walliams;Stephen Fry;0;1;5;46;93;100000000;26249469
209;Countdown;2019;5.4;31;18636;PG-13;https://imdb.com/title/tt10039344/;Horror;Thriller;;Elizabeth Lail;Jordan Calloway;Talitha Eliana Bateman;0;0;0;0;90;6500000;48021766
210;What Men Want;2019;5.2;49;18514;R;https://imdb.com/title/tt7634968/;Comedy;Fantasy;Romance;Taraji P. Henson;Kristen Ledlow;Josh Brener;0;0;0;1;117;20000000;72216294
211;The Angry Birds Movie 2;2019;6.4;60;18010;PG;https://imdb.com/title/tt6095472/;Animation;Adventure;Comedy;Jason Sudeikis;Josh Gad;Leslie Jones;0;0;1;3;97;65000000;147792047
