,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
3696,The Mummy Returns,2001,6.3,48        ,294785,PG-13,https://imdb.com/title/tt0209163/,Action,Adventure,Fantasy,Brendan Fraser,Rachel Weisz,John Hannah,0,0,6,18,130,98000000,443280904
3697,Jurassic Park III,2001,5.9,42        ,288341,PG-13,https://imdb.com/title/tt0163025/,Action,Adventure,Sci-Fi,Sam Neill,William H. Macy,Téa Leoni,0,0,5,15,92,93000000,368780809
3698,A.I. Artificial Intelligence,2001,7.2,65        ,284755,PG-13,https://imdb.com/title/tt0212720/,Drama,Sci-Fi,,Haley Joel Osment,Jude Law,Frances O'Connor,0,2,17,68,146,100000000,235926552
3699,Moulin Rouge!,2001,7.6,66        ,261270,PG-13,https://imdb.com/title/tt0203009/,Drama,Musical,Romance,Nicole Kidman,Ewan McGregor,John Leguizamo,0,2,85,130,127,50000000,184928135
3700,The Royal Tenenbaums,2001,7.6,76        ,258863,R,https://imdb.com/title/tt0265666/,Comedy,Drama,,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,0,1,10,45,110,21000000,71441250
3701,Hannibal,2001,6.8,57        ,247854,R,https://imdb.com/title/tt0212985/,Crime,Drama,Thriller,Anthony Hopkins,Julianne Moore,Gary Oldman,0,0,9,22,131,87000000,351692268
3702,Vanilla Sky,2001,6.9,45        ,242643,R,https://imdb.com/title/tt0259711/,Fantasy,Mystery,Romance,Tom Cruise,Penélope Cruz,Cameron Diaz,0,1,5,33,136,68000000,203388341
3703,Zoolander,2001,6.5,61        ,241035,PG-13,https://imdb.com/title/tt0196229/,Comedy,,,Ben Stiller,Owen Wilson,Christine Taylor,0,0,1,11,90,28000000,60780981
3704,Enemy at the Gates,2001,7.6,53        ,236266,R,https://imdb.com/title/tt0215750/,Drama,History,War,Jude Law,Ed Harris,Joseph Fiennes,0,0,0,7,131,68000000,96976270
3705,American Pie 2,2001,6.4,43        ,234767,R,https://imdb.com/title/tt0252866/,Comedy,,,Jason Biggs,Seann William Scott,Shannon Elizabeth,0,0,8,6,108,30000000,287553595
3706,Blow,2001,7.6,52        ,234697,R,https://imdb.com/title/tt0221027/,Biography,Crime,Drama,Johnny Depp,Penélope Cruz,Franka Potente,0,0,3,9,124,53000000,83282296
3707,Bridget Jones's Diary,2001,6.7,66        ,218316,R,https://imdb.com/title/tt0243155/,Comedy,Drama,Romance,Renée Zellweger,Colin Firth,Hugh Grant,0,1,8,29,97,25000000,281929795
3708,Planet of the Apes,2001,5.7,50        ,206947,PG-13,https://imdb.com/title/tt0133152/,Action,Adventure,Sci-Fi,Mark Wahlberg,Helena Bonham Carter,Tim Roth,0,2,11,27,119,100000000,362211740
3709,Rush Hour 2,2001,6.6,48        ,195036,PG-13,https://imdb.com/title/tt0266915/,Action,Comedy,Crime,Jackie Chan,Chris Tucker,John Lone,0,0,10,22,90,90000000,347325802
3710,Lara Croft: Tomb Raider,2001,5.8,33        ,193901,PG-13,https://imdb.com/title/tt0146316/,Action,Adventure,Fantasy,Angelina Jolie,Jon Voight,Iain Glen,0,0,4,17,100,115000000,274703340
3711,Legally Blonde,2001,6.3,59        ,177493,PG-13,https://imdb.com/title/tt0250494/,Comedy,Romance,,Reese Witherspoon,Luke Wilson,Selma Blair,0,2,6,10,96,18000000,141774679
3712,Swordfish,2001,6.5,32        ,173316,R,https://imdb.com/title/tt0244244/,Action,Crime,Thriller,John Travolta,Hugh Jackman,Halle Berry,0,0,5,8,99,102000000,147080413
3713,K-PAX,2001,7.4,49        ,172343,PG-13,https://imdb.com/title/tt0272152/,Drama,Mystery,Sci-Fi,Kevin Spacey,Jeff Bridges,Mary McCormack,0,0,0,3,120,68000000,65001485
3714,A Knight's Tale,2001,6.9,56        ,165344,PG-13,https://imdb.com/title/tt0183790/,Action,Adventure,Romance,Heath Ledger,Mark Addy,Rufus Sewell,0,0,4,10,132,65000000,117487473
3715,Jay and Silent Bob Strike Back,2001,6.8,51        ,146354,R,https://imdb.com/title/tt0261392/,Comedy,,,Jason Mewes,Kevin Smith,Ben Affleck,0,0,1,3,104,22000000,33788161
3716,Scary Movie 2,2001,5.3,29        ,145986,R,https://imdb.com/title/tt0257106/,Comedy,Horror,,Anna Faris,Marlon Wayans,Antony Acker,0,0,3,4,83,45000000,141220678
3717,From Hell,2001,6.8,54        ,143907,R,https://imdb.com/title/tt0120681/,Horror,Mystery,Thriller,Johnny Depp,Heather Graham,Ian Holm,0,0,0,14,122,35000000,74558115
3718,Spy Game,2001,7.1,63        ,141673,R,https://imdb.com/title/tt0266987/,Action,Crime,Thriller,Robert Redford,Brad Pitt,Catherine McCormack,0,0,0,3,126,115000000,143049560
3719,I Am Sam,2001,7.7,28        ,140412,PG-13,https://imdb.com/title/tt0277027/,Drama,,,Sean Penn,Michelle Pfeiffer,Dakota Fanning,0,1,8,11,132,22000000,97818139
3720,Shallow Hal,2001,5.9,48        ,124865,PG-13,https://imdb.com/title/tt0256380/,Comedy,Drama,Fantasy,Jack Black,Gwyneth Paltrow,Jason Alexander,0,0,0,3,114,40000000,141069860
3721,The Score,2001,6.8,71        ,118164,R,https://imdb.com/title/tt0227445/,Crime,Drama,Thriller,Robert De Niro,Edward Norton,Marlon Brando,0,0,1,1,124,68000000,114252154
